Wall time,Step,Value
1714065067.2035844,3840,-16.36223602294922
1714065075.1338315,7680,-16.35349464416504
1714065081.6423502,11520,-16.601795196533203
1714065088.7107604,15360,-16.52164077758789
1714065145.90751,19200,-5.395245552062988
1714065242.3672469,23040,-1.8207085132598877
1714065292.5450807,26880,-0.9126101732254028
1714065342.8827214,30720,0.7803410291671753
1714065393.1693838,34560,0.9398353695869446
1714065443.9487798,38400,1.1360796689987183
1714065494.1155508,42240,1.0976630449295044
1714065544.5262592,46080,1.4913742542266846
1714065594.5630007,49920,1.3426865339279175
1714065645.2844262,53760,1.5603669881820679
1714065695.0096202,57600,0.4297468662261963
1714065748.6047795,61440,0.5037362575531006
1714065801.5128925,65280,0.6292032599449158
1714065853.2390392,69120,1.7175118923187256
1714065906.4771307,72960,1.5794588327407837
1714065958.8584063,76800,1.168552041053772
1714066011.3649836,80640,1.8403481245040894
1714066063.1750956,84480,1.6832484006881714
1714066115.8880732,88320,1.898501992225647
1714066209.7712822,92160,1.9795269966125488
1714066303.054493,96000,2.3174667358398438
1714066396.2559247,99840,2.2202937602996826
1714066489.8809247,103680,2.6800148487091064
1714066583.8410065,107520,2.7240262031555176
1714066682.2835395,111360,2.7820653915405273
1714066773.439564,115200,2.6334054470062256
1714066862.019097,119040,2.909954071044922
1714066954.5144236,122880,2.955836534500122
1714067041.6323829,126720,2.673738718032837
1714067139.3895912,130560,2.9513673782348633
1714067188.654568,134400,2.6842892169952393
1714067239.2584002,138240,2.8523287773132324
1714067288.7947218,142080,2.909647226333618
1714067342.0814307,145920,3.0017080307006836
1714067428.1806545,149760,3.0197701454162598
1714067520.6753242,153600,3.2280659675598145
1714067610.52838,157440,3.2596824169158936
1714067698.9753783,161280,3.3404510021209717
1714067784.1004534,165120,3.1681554317474365
1714067867.3918467,168960,3.410571336746216
1714067952.2552392,172800,3.418102979660034
1714068039.6636941,176640,3.2718827724456787
1714068124.9735076,180480,3.023837089538574
1714068209.3794172,184320,3.2381813526153564
1714068293.58851,188160,3.261977195739746
1714068381.4657059,192000,3.0445127487182617
